2026-07-31 18:30:04,064 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:30:08,494 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:30:08,548 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:30:10,799 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:30:11,371 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:11,442 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:11,538 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:11,600 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:11,668 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:30:11,687 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:30:11,725 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:30:11,725 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:30:11,966 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:30:11,967 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502811965_46ba' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:30:11,968 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:30:11,968 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502811965_d3e6' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:30:11,970 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:30:11,970 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502811965_5cde' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:30:11,971 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:30:11,971 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502811965_5715' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:30:11,973 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:30:11,973 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502811965_4176' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:30:12,455 | INFO | aiforge.sre | SRE background task scheduler started successfully.
2026-07-31 18:30:24,925 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:30:25,755 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:30:25,782 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:30:33,329 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:30:33,964 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:30:33,967 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:30:33,968 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:30:34,243 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:30:34,243 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:30:34,269 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:30:34,271 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:30:34,751 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
